unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1597057200000,2020-08-10 11:00:00,ETH/USDT,390.27,392.75,390.27,391.44,50041.569,19601105.31040,14406
1597060800000,2020-08-10 12:00:00,ETH/USDT,391.44,395.50,390.65,395.07,87114.582,34273257.49908,20547
1597064400000,2020-08-10 13:00:00,ETH/USDT,395.06,396.76,394.18,396.53,67537.438,26704276.30304,17998
1597068000000,2020-08-10 14:00:00,ETH/USDT,396.52,397.28,394.44,394.52,65815.754,26059175.77172,16128
1597071600000,2020-08-10 15:00:00,ETH/USDT,394.52,397.42,392.09,397.32,66952.509,26453731.73232,17443
1597075200000,2020-08-10 16:00:00,ETH/USDT,397.24,398.37,393.46,394.62,84972.287,33674059.31596,22377
1597078800000,2020-08-10 17:00:00,ETH/USDT,394.62,397.79,394.25,397.51,43617.990,17274377.10318,13398
1597082400000,2020-08-10 18:00:00,ETH/USDT,397.52,398.95,395.82,395.95,57555.423,22873280.57896,14560
1597086000000,2020-08-10 19:00:00,ETH/USDT,395.91,397.55,394.73,396.11,33765.450,13372500.24759,11243
1597089600000,2020-08-10 20:00:00,ETH/USDT,396.10,397.20,393.10,395.15,50640.132,20013045.60659,14223
1597093200000,2020-08-10 21:00:00,ETH/USDT,395.14,395.51,392.18,394.00,37960.030,14943804.28527,11617
1597096800000,2020-08-10 22:00:00,ETH/USDT,393.99,395.64,392.10,394.99,42477.859,16738972.19140,11230
1597100400000,2020-08-10 23:00:00,ETH/USDT,395.00,396.29,393.38,395.83,28541.023,11278263.28667,10203
1597104000000,2020-08-11 00:00:00,ETH/USDT,395.83,397.07,394.10,395.91,37509.941,14831535.35256,13182
1597107600000,2020-08-11 01:00:00,ETH/USDT,395.91,398.37,395.29,397.61,53781.840,21366441.52524,14480
1597111200000,2020-08-11 02:00:00,ETH/USDT,397.60,398.78,396.44,396.51,48597.024,19324885.06016,12797
1597114800000,2020-08-11 03:00:00,ETH/USDT,396.51,397.54,393.12,394.71,85932.870,33968703.34520,17643
1597118400000,2020-08-11 04:00:00,ETH/USDT,394.74,396.85,393.72,395.29,33618.505,13285723.98107,11909
1597122000000,2020-08-11 05:00:00,ETH/USDT,395.25,396.00,393.13,395.57,35581.814,14046868.06992,11402
1597125600000,2020-08-11 06:00:00,ETH/USDT,395.57,395.57,390.53,392.28,84454.365,33152073.71084,20093
1597129200000,2020-08-11 07:00:00,ETH/USDT,392.28,393.22,388.29,391.32,78316.804,30598487.96943,18517
1597132800000,2020-08-11 08:00:00,ETH/USDT,391.27,392.48,388.83,389.69,64839.058,25331543.76504,16805
1597136400000,2020-08-11 09:00:00,ETH/USDT,389.70,392.13,389.08,390.00,49964.206,19538690.41471,15072
1597140000000,2020-08-11 10:00:00,ETH/USDT,390.00,392.00,387.65,391.00,62487.616,24368161.49380,17449
1597143600000,2020-08-11 11:00:00,ETH/USDT,391.00,392.88,390.51,391.98,35700.103,13980276.66399,12246
1597147200000,2020-08-11 12:00:00,ETH/USDT,391.98,391.99,386.80,387.46,84547.328,32896717.30565,19913
1597150800000,2020-08-11 13:00:00,ETH/USDT,387.46,389.76,383.00,389.41,222579.005,86000475.32576,45020
1597154400000,2020-08-11 14:00:00,ETH/USDT,389.40,389.61,384.69,385.99,84994.805,32879742.42026,20265
1597158000000,2020-08-11 15:00:00,ETH/USDT,386.00,386.48,377.15,382.61,204041.056,78036134.07111,41913
1597161600000,2020-08-11 16:00:00,ETH/USDT,382.54,385.46,377.00,385.10,195082.327,74381512.26850,43258
1597165200000,2020-08-11 17:00:00,ETH/USDT,385.10,386.80,382.31,386.03,79430.680,30565153.98830,18896
1597168800000,2020-08-11 18:00:00,ETH/USDT,386.01,386.14,381.19,382.35,55823.256,21388797.66860,14670
1597172400000,2020-08-11 19:00:00,ETH/USDT,382.31,382.45,379.00,381.00,61575.764,23438012.08276,16886
1597176000000,2020-08-11 20:00:00,ETH/USDT,380.95,380.95,367.00,373.67,275194.277,102820718.47110,59412
1597179600000,2020-08-11 21:00:00,ETH/USDT,373.70,377.00,368.78,374.29,113891.138,42515065.97964,28894
1597183200000,2020-08-11 22:00:00,ETH/USDT,374.28,376.80,372.90,375.90,66094.957,24745733.04253,16968
1597186800000,2020-08-11 23:00:00,ETH/USDT,375.88,382.00,375.54,379.30,85116.096,32270275.17573,21945
